id,created_at,owner_id,name,email,phone,segment,industry,first_touch_channel,last_touch_channel,crm_account_id
39,2022-08-28T13:59:41Z,39,Northrop Conybear,nconybear12@mapy.cz,177-869-7316,segment3,EDP Services,channel3,channel2,39
40,2022-04-20T07:26:17Z,40,Ambur Farmloe,afarmloe13@gravatar.com,324-533-7025,segment3,Major Pharmaceuticals,channel3,channel4,40
41,2023-02-09T11:21:02Z,41,Austin Mearing,amearing14@army.mil,241-663-2058,segment4,Finance: Consumer Services,channel1,channel5,41
42,2022-06-25T03:34:30Z,42,Elberta Gallgher,egallgher15@bandcamp.com,794-524-2237,segment3,EDP Services,channel2,channel4,42
43,2022-12-18T07:47:56Z,43,Essa Pickworth,epickworth16@bandcamp.com,709-588-7415,segment2,Integrated oil Companies,channel1,channel3,43
44,2022-11-04T07:50:34Z,44,Rip Halgarth,rhalgarth17@ucoz.ru,161-259-4652,segment2,n/a,channel4,channel1,44
45,2022-07-17T10:32:33Z,45,Camila Woodwing,cwoodwing18@amazon.co.uk,271-901-0088,segment1,Business Services,channel5,channel1,45
46,2022-09-01T10:20:12Z,46,Thaddeus Kalker,tkalker19@gmpg.org,650-583-5376,segment1,Computer Software: Prepackaged Software,channel1,channel3,46
47,2022-11-01T06:38:44Z,47,Ilka Igo,iigo1a@hubpages.com,624-342-4573,segment2,Industrial Machinery/Components,channel1,channel4,47
48,2022-04-06T17:12:50Z,48,Selena de Clerq,sde1b@aboutads.info,169-338-5857,segment3,Marine Transportation,channel3,channel3,48
49,2022-11-01T14:37:14Z,49,Mitchel Hazelgreave,mhazelgreave1c@symantec.com,303-292-5129,segment4,n/a,channel5,channel2,49
50,2022-04-09T02:44:29Z,50,Francois Mapplebeck,fmapplebeck1d@ning.com,940-200-3787,segment2,Auto Manufacturing,channel1,channel4,50
51,2022-12-21T17:38:00Z,51,Piggy Phelp,pphelp1e@bluehost.com,513-213-0904,segment3,Real Estate Investment Trusts,channel3,channel2,51
52,2022-06-29T05:30:38Z,52,Taber Aleksankov,taleksankov1f@washingtonpost.com,140-341-9804,segment1,n/a,channel1,channel1,52
53,2022-04-17T20:59:39Z,53,Belva Dunmore,bdunmore1g@wiley.com,567-276-0043,segment1,Business Services,channel3,channel4,53
54,2022-06-02T19:53:01Z,54,Kameko Vowden,kvowden1h@alibaba.com,987-268-3504,segment4,n/a,channel2,channel2,54
55,2022-05-24T14:43:15Z,55,Brenna Tweedell,btweedell1i@twitpic.com,383-690-5180,segment3,n/a,channel3,channel1,55
56,2022-10-19T09:52:15Z,56,Ignaz Courtonne,icourtonne1j@friendfeed.com,691-348-5827,segment2,Steel/Iron Ore,channel5,channel1,56
57,2022-08-18T17:15:58Z,57,Monica Alexandersen,malexandersen1k@ow.ly,257-934-0262,segment1,Other Specialty Stores,channel2,channel1,57
58,2022-11-04T06:27:57Z,58,Naoma Soigne,nsoigne1l@mlb.com,302-137-7513,segment2,n/a,channel5,channel2,58
59,2022-08-17T22:08:52Z,59,Gaelan Falk,gfalk1m@ning.com,746-613-0674,segment3,Semiconductors,channel3,channel2,59
60,2022-03-27T14:48:19Z,60,Marcello Bankhurst,mbankhurst1n@hatena.ne.jp,177-133-6813,segment3,Oil & Gas Production,channel4,channel3,60
61,2022-08-02T21:03:37Z,61,Dennison Timbs,dtimbs1o@edublogs.org,704-267-9064,segment1,Oilfield Services/Equipment,channel5,channel1,61
62,2023-02-12T03:02:41Z,62,Mariette Jakolevitch,mjakolevitch1p@infoseek.co.jp,984-703-6845,segment2,Beverages (Production/Distribution),channel3,channel5,62
63,2022-03-04T16:46:32Z,63,Arch Newlove,anewlove1q@nyu.edu,211-267-3684,segment3,Major Chemicals,channel2,channel4,63
64,2022-04-26T15:27:19Z,64,Zachary Feilden,zfeilden1r@icio.us,103-913-2175,segment1,n/a,channel3,channel5,64
65,2023-02-04T17:21:30Z,65,Conrade Mc Trusty,cmc1s@example.com,501-439-6458,segment1,Ordnance And Accessories,channel2,channel2,65
66,2022-07-22T14:36:18Z,66,Hyacinthia O'Hagan,hohagan1t@rediff.com,402-114-0399,segment2,Packaged Foods,channel4,channel4,66
67,2022-04-29T20:39:01Z,67,Robinia Minister,rminister1u@flavors.me,171-294-1872,segment4,Natural Gas Distribution,channel1,channel4,67
68,2022-03-20T05:10:52Z,68,Paddy Eggleton,peggleton1v@webs.com,584-764-7122,segment1,Major Pharmaceuticals,channel2,channel2,68
69,2023-02-21T20:39:55Z,69,Nobe Hebden,nhebden1w@virginia.edu,329-925-4397,segment4,n/a,channel4,channel3,69
70,2022-05-02T01:45:37Z,70,Gregg Brill,gbrill1x@google.com.hk,183-209-4814,segment3,n/a,channel2,channel5,70
71,2022-09-19T03:33:37Z,71,Tomasina Detloff,tdetloff1y@blinklist.com,597-962-5409,segment1,Life Insurance,channel1,channel5,71
72,2022-05-24T16:30:23Z,72,Chelsae Potteridge,cpotteridge1z@gov.uk,414-516-9319,segment1,Telecommunications Equipment,channel2,channel4,72
73,2022-08-25T07:43:21Z,73,Tonye Gulliman,tgulliman20@w3.org,286-855-3691,segment3,Package Goods/Cosmetics,channel4,channel1,73
74,2022-03-07T22:26:13Z,74,Malina Longman,mlongman21@1688.com,892-717-7739,segment1,Finance: Consumer Services,channel4,channel2,74
75,2022-12-11T04:39:23Z,75,Manolo Brabin,mbrabin22@toplist.cz,806-208-4807,segment3,Major Banks,channel5,channel3,75
76,2022-03-19T03:21:27Z,76,Sabina Swynfen,sswynfen23@indiegogo.com,200-454-7279,segment1,n/a,channel5,channel5,76
77,2022-12-01T09:42:27Z,77,Avrom McDaid,amcdaid24@wikia.com,541-125-6155,segment4,Catalog/Specialty Distribution,channel2,channel1,77
78,2022-03-14T15:15:00Z,78,Kelly Rainsdon,krainsdon25@lycos.com,906-693-3674,segment4,Professional Services,channel2,channel5,78
79,2022-05-02T17:59:23Z,79,Artair Kear,akear26@nih.gov,456-520-1171,segment3,Television Services,channel5,channel3,79
80,2022-07-20T17:52:19Z,80,Row McIlvoray,rmcilvoray27@tiny.cc,640-311-0414,segment2,Major Pharmaceuticals,channel4,channel4,80
81,2022-07-30T11:49:40Z,81,Marissa Gurden,mgurden28@alibaba.com,125-447-2821,segment1,n/a,channel5,channel3,81
82,2022-11-05T14:31:06Z,82,Claudio Stuttard,cstuttard29@geocities.jp,226-617-9216,segment1,Major Pharmaceuticals,channel5,channel2,82
83,2022-12-28T07:25:35Z,83,Phedra Arderne,parderne2a@sbwire.com,569-176-7960,segment2,Home Furnishings,channel5,channel4,83
84,2022-12-14T07:35:17Z,84,Agnesse Hadrill,ahadrill2b@webmd.com,145-123-9617,segment4,n/a,channel4,channel5,84
85,2022-11-20T14:39:40Z,85,Myrta Parfett,mparfett2c@ed.gov,884-852-8674,segment3,Major Chemicals,channel4,channel4,85
86,2022-12-18T05:32:26Z,86,Ernestus Goldfinch,egoldfinch2d@google.co.uk,996-839-0616,segment3,Life Insurance,channel5,channel4,86
87,2022-04-05T06:12:22Z,87,Brinna Mc Comb,bmc2e@businessweek.com,637-109-5576,segment2,Major Pharmaceuticals,channel2,channel5,87
88,2022-11-30T04:22:14Z,88,Minnie Scard,mscard2f@php.net,937-903-7986,segment2,Advertising,channel3,channel1,88
89,2022-06-17T21:12:01Z,89,Nerita Bestwerthick,nbestwerthick2g@jiathis.com,283-431-1947,segment3,n/a,channel5,channel2,89
90,2022-11-29T03:17:59Z,90,Bobette Flaonier,bflaonier2h@mozilla.org,920-336-3629,segment2,n/a,channel4,channel3,90
91,2022-07-28T09:11:30Z,91,Isobel Taplow,itaplow2i@wiley.com,432-272-3517,segment3,Major Banks,channel4,channel5,91
92,2022-09-28T22:18:51Z,92,Aloysia Tipens,atipens2j@parallels.com,396-661-6734,segment3,n/a,channel3,channel5,92
93,2022-04-01T17:01:03Z,93,Tiebold Toxell,ttoxell2k@a8.net,249-749-9493,segment1,Air Freight/Delivery Services,channel5,channel4,93
94,2022-05-13T02:41:42Z,94,Laurice Roadknight,lroadknight2l@goodreads.com,800-433-9818,segment3,Natural Gas Distribution,channel5,channel3,94
95,2022-11-20T07:29:26Z,95,Sauncho Bampkin,sbampkin2m@nbcnews.com,828-327-3686,segment1,Real Estate Investment Trusts,channel1,channel5,95
96,2022-11-14T11:37:55Z,96,Harmon McCrum,hmccrum2n@theglobeandmail.com,204-816-7119,segment1,Catalog/Specialty Distribution,channel4,channel2,96
97,2022-12-19T01:36:25Z,97,Fannie Blinerman,fblinerman2o@cbc.ca,709-186-8162,segment1,Power Generation,channel4,channel2,97
98,2022-12-06T12:57:34Z,98,Shirley Edleston,sedleston2p@biglobe.ne.jp,820-428-9536,segment4,n/a,channel1,channel1,98
99,2022-06-02T11:03:43Z,99,Gertruda Matchett,gmatchett2q@auda.org.au,130-942-1033,segment3,Marine Transportation,channel3,channel5,99
100,2022-06-11T03:17:01Z,100,Etienne Kinneally,ekinneally2r@g.co,423-733-0477,segment4,n/a,channel1,channel5,100
101,2022-06-04T18:05:53Z,101,Jilleen Frogley,jfrogley2s@a8.net,294-249-2083,segment3,Homebuilding,channel1,channel4,101
102,2022-12-15T11:17:15Z,102,Ardenia Taillant,ataillant2t@macromedia.com,493-355-2238,segment4,"Computer Software: Programming, Data Processing",channel1,channel2,102
103,2022-12-01T18:38:17Z,103,Donica Wakeley,dwakeley2u@friendfeed.com,810-384-6399,segment1,Aerospace,channel3,channel2,103
104,2022-04-13T07:41:51Z,104,Hendrick Torel,htorel2v@independent.co.uk,545-553-6655,segment2,Commercial Banks,channel1,channel5,104
105,2022-12-16T10:10:18Z,105,Malissa Banck,mbanck2w@statcounter.com,705-570-2386,segment4,Major Pharmaceuticals,channel5,channel3,105
106,2022-07-25T01:16:24Z,106,Romain Weller,rweller2x@google.nl,836-710-1220,segment4,Finance: Consumer Services,channel5,channel1,106
107,2023-01-09T15:50:15Z,107,Egan Gaynsford,egaynsford2y@mail.ru,677-194-9028,segment2,Multi-Sector Companies,channel3,channel1,107
108,2022-08-24T20:35:44Z,108,Kally Lamputt,klamputt2z@behance.net,189-308-9667,segment4,Clothing/Shoe/Accessory Stores,channel4,channel5,108
109,2022-03-08T23:13:12Z,109,Corinna Kildale,ckildale30@cdc.gov,614-385-9203,segment3,Movies/Entertainment,channel2,channel5,109
110,2022-11-06T14:59:12Z,110,Myrlene Waterhowse,mwaterhowse31@hostgator.com,944-672-2681,segment2,Life Insurance,channel1,channel4,110
111,2022-07-26T07:15:23Z,111,Crystie Sparwell,csparwell32@delicious.com,231-826-8348,segment1,n/a,channel2,channel1,111
112,2022-04-05T20:35:04Z,112,Niki McEachern,nmceachern33@360.cn,421-293-9038,segment3,n/a,channel3,channel5,112
113,2023-02-13T17:20:05Z,113,Latrena Bartalini,lbartalini34@usa.gov,391-781-2503,segment2,Homebuilding,channel2,channel4,113
114,2023-02-11T02:44:55Z,114,Sherwynd Joliffe,sjoliffe35@un.org,408-672-9944,segment4,Industrial Machinery/Components,channel5,channel5,114
115,2023-01-08T08:06:38Z,115,Frazer Welham,fwelham36@people.com.cn,186-969-4946,segment4,EDP Services,channel4,channel5,115
116,2022-10-18T10:55:42Z,116,Ophelie Barnwill,obarnwill37@ocn.ne.jp,945-783-0567,segment2,n/a,channel2,channel1,116
117,2022-08-11T12:48:09Z,117,Marillin Tomisch,mtomisch38@themeforest.net,956-547-3015,segment3,Business Services,channel5,channel1,117
118,2022-08-03T13:13:39Z,118,Rainer Whapham,rwhapham39@bloglovin.com,638-572-4872,segment1,Medical/Dental Instruments,channel4,channel5,118
119,2022-05-24T07:55:27Z,119,Price Barnish,pbarnish3a@alexa.com,190-535-8007,segment1,Major Pharmaceuticals,channel4,channel1,119
120,2022-10-10T10:32:55Z,120,Barbe Jore,bjore3b@walmart.com,221-888-7916,segment1,Marine Transportation,channel5,channel4,120
121,2022-11-08T20:44:35Z,121,Gwenore Lempenny,glempenny3c@netvibes.com,456-321-4994,segment4,Telecommunications Equipment,channel5,channel2,121
122,2022-04-09T12:16:11Z,122,Conrad Canet,ccanet3d@bigcartel.com,289-387-6699,segment2,Oil & Gas Production,channel5,channel3,122
123,2022-03-18T23:29:06Z,123,Chandler Mars,cmars3e@bing.com,674-785-5964,segment1,Medical Specialities,channel5,channel1,123
124,2022-07-25T03:37:46Z,124,Rriocard Croney,rcroney3f@pbs.org,861-964-9848,segment2,Natural Gas Distribution,channel2,channel3,124
125,2022-08-10T00:22:35Z,125,Malachi Clearley,mclearley3g@time.com,544-659-7996,segment4,Business Services,channel1,channel4,125
126,2022-05-08T14:52:34Z,126,Culley Faustian,cfaustian3h@simplemachines.org,914-112-6486,segment3,Investment Bankers/Brokers/Service,channel2,channel2,126
127,2022-06-15T12:23:55Z,127,Monica Keming,mkeming3i@bluehost.com,595-866-8318,segment2,n/a,channel4,channel4,127
128,2022-10-11T10:33:13Z,128,Antonetta Pixton,apixton3j@telegraph.co.uk,927-626-1032,segment1,Medical/Dental Instruments,channel4,channel4,128
129,2022-08-16T06:51:21Z,129,Margarette Yanov,myanov3k@goo.ne.jp,802-190-1549,segment1,Savings Institutions,channel2,channel3,129
130,2022-09-15T17:30:07Z,130,Skippie Wharlton,swharlton3l@senate.gov,757-941-4235,segment2,n/a,channel1,channel5,130
131,2022-03-21T05:39:20Z,131,Leigh MacAlees,lmacalees3m@diigo.com,147-592-9084,segment4,n/a,channel3,channel5,131
132,2022-05-02T02:59:32Z,132,Hedvig Richold,hrichold3n@google.cn,683-572-1127,segment4,Medical/Dental Instruments,channel2,channel3,132
133,2022-03-07T18:44:00Z,133,Vaclav Renols,vrenols3o@sourceforge.net,251-470-6906,segment3,Steel/Iron Ore,channel2,channel5,133
134,2022-07-23T01:01:23Z,134,Scotti Wotherspoon,swotherspoon3p@netscape.com,641-295-2908,segment2,Packaged Foods,channel1,channel3,134
135,2023-02-02T22:45:44Z,135,Edgardo Crimpe,ecrimpe3q@liveinternet.ru,715-904-3016,segment3,n/a,channel5,channel5,135
136,2022-04-16T01:00:36Z,136,Winnifred Giamelli,wgiamelli3r@flickr.com,555-294-4474,segment1,n/a,channel4,channel2,136
137,2022-06-10T01:44:15Z,137,Lucretia Ducket,lducket3s@live.com,108-953-4961,segment2,EDP Services,channel3,channel2,137
138,2022-04-23T05:20:18Z,138,Lorrie Binford,lbinford3t@npr.org,394-393-6012,segment2,Marine Transportation,channel2,channel3,138
139,2022-10-25T06:11:29Z,139,Weylin Dodd,wdodd3u@amazonaws.com,656-291-8587,segment1,Biotechnology: Electromedical & Electrotherapeutic Apparatus,channel1,channel3,139
140,2022-11-07T03:57:38Z,140,Renaud Strewthers,rstrewthers3v@auda.org.au,597-764-9975,segment3,Food Distributors,channel1,channel3,140
141,2022-12-04T07:09:34Z,141,Eleonora Ferrarone,eferrarone3w@census.gov,632-762-9786,segment2,n/a,channel3,channel1,141
142,2022-04-06T21:25:29Z,142,Tabby Diegan,tdiegan3x@hubpages.com,936-395-9664,segment2,Home Furnishings,channel5,channel2,142
143,2022-03-26T16:39:33Z,143,Sutherlan Serchwell,sserchwell3y@hc360.com,460-770-1133,segment4,n/a,channel4,channel3,143
144,2022-11-25T19:07:11Z,144,Federica Frake,ffrake3z@cafepress.com,850-487-4585,segment3,n/a,channel5,channel3,144
145,2022-09-25T13:03:05Z,145,Meredeth Tomkinson,mtomkinson40@nps.gov,124-279-9524,segment4,n/a,channel2,channel3,145
146,2022-05-08T02:24:54Z,146,Arline Hindes,ahindes41@dion.ne.jp,582-442-5271,segment4,Major Pharmaceuticals,channel2,channel1,146
147,2022-09-10T00:59:28Z,147,Janelle Durnian,jdurnian42@cdc.gov,707-913-1694,segment1,n/a,channel2,channel4,147
148,2022-06-02T11:40:26Z,148,Irvine Vassano,ivassano43@angelfire.com,336-619-9557,segment2,Specialty Chemicals,channel2,channel4,148
149,2022-03-16T22:15:24Z,149,Catharina Barrat,cbarrat44@noaa.gov,905-983-8673,segment3,Oil & Gas Production,channel3,channel4,149
150,2022-02-28T03:58:58Z,150,Morgana Allston,mallston45@unesco.org,787-971-8368,segment2,Hotels/Resorts,channel1,channel1,150
151,2022-09-21T19:17:05Z,151,Georgina Bonellie,gbonellie46@sogou.com,500-132-2778,segment4,Property-Casualty Insurers,channel5,channel1,151
152,2022-12-22T18:15:11Z,152,Perice O'Luby,poluby47@sciencedirect.com,901-540-4984,segment2,Major Banks,channel5,channel2,152
153,2023-01-11T10:13:15Z,153,Tyne Skelcher,tskelcher48@php.net,938-575-0797,segment1,Specialty Insurers,channel3,channel1,153
154,2022-05-21T12:05:59Z,154,Mair Ferber,mferber49@smugmug.com,251-892-6405,segment1,Major Banks,channel1,channel1,154
155,2022-10-01T14:24:26Z,155,Chrissie Grindley,cgrindley4a@stumbleupon.com,476-872-9120,segment2,Major Banks,channel2,channel5,155
156,2022-06-20T22:30:29Z,156,Cathy McPartling,cmcpartling4b@webmd.com,391-507-1546,segment3,Major Pharmaceuticals,channel2,channel5,156
157,2022-04-12T10:21:00Z,157,Ava Deeney,adeeney4c@last.fm,440-627-2691,segment4,Other Consumer Services,channel2,channel4,157
158,2022-10-26T16:19:39Z,158,Killian Foucard,kfoucard4d@hatena.ne.jp,120-377-5175,segment4,Real Estate Investment Trusts,channel3,channel5,158
159,2023-01-13T01:07:28Z,159,Isac Emburey,iemburey4e@newsvine.com,286-703-8825,segment1,Telecommunications Equipment,channel5,channel5,159
160,2022-10-22T00:25:11Z,160,Legra Wasmer,lwasmer4f@soup.io,894-186-0138,segment4,Savings Institutions,channel2,channel2,160
161,2022-08-31T10:20:12Z,161,Edlin Benford,ebenford4g@theglobeandmail.com,739-602-4446,segment3,Forest Products,channel3,channel1,161
162,2022-05-27T13:41:27Z,162,Eziechiele Daintree,edaintree4h@ox.ac.uk,313-531-9347,segment1,Major Pharmaceuticals,channel2,channel4,162
163,2022-10-08T10:45:38Z,163,Shanan Felton,sfelton4i@myspace.com,453-902-8007,segment3,Natural Gas Distribution,channel4,channel1,163
164,2022-11-20T12:49:04Z,164,Novelia Drinkwater,ndrinkwater4j@skype.com,216-366-0065,segment2,Restaurants,channel3,channel2,164
165,2022-11-28T10:16:53Z,165,Sarene Wrefford,swrefford4k@vinaora.com,948-636-3541,segment4,Medical/Dental Instruments,channel5,channel5,165
166,2022-10-24T05:40:55Z,166,Garrard Hawkings,ghawkings4l@loc.gov,833-913-6962,segment2,Steel/Iron Ore,channel2,channel3,166
167,2022-05-07T15:24:27Z,167,Arron Jantel,ajantel4m@gizmodo.com,636-497-4938,segment2,Multi-Sector Companies,channel1,channel4,167
168,2022-04-21T22:46:41Z,168,Jory Cundict,jcundict4n@blogs.com,693-413-4555,segment1,Industrial Machinery/Components,channel2,channel4,168
169,2022-12-06T21:11:55Z,169,Althea Darragon,adarragon4o@instagram.com,676-763-6794,segment3,n/a,channel1,channel1,169
170,2022-08-04T13:07:55Z,170,Loreen Andrejs,landrejs4p@spotify.com,436-336-3553,segment3,Metal Fabrications,channel4,channel1,170
171,2022-05-09T05:27:34Z,171,Matias Izod,mizod4q@dagondesign.com,634-709-2334,segment3,Textiles,channel5,channel2,171
172,2022-04-23T22:50:50Z,172,Tybie Sent,tsent4r@webmd.com,120-592-2523,segment4,Major Banks,channel4,channel4,172
173,2023-01-28T22:17:45Z,173,Catlaina Hiddy,chiddy4s@fotki.com,198-731-5264,segment3,Major Banks,channel4,channel5,173
174,2022-08-02T01:32:20Z,174,Gustie O'Cassidy,gocassidy4t@histats.com,126-945-5191,segment4,Electric Utilities: Central,channel3,channel4,174
175,2022-03-22T12:20:46Z,175,Marietta Ellerbeck,mellerbeck4u@geocities.com,208-260-6035,segment2,Marine Transportation,channel5,channel4,175
176,2022-12-04T11:11:11Z,176,D'arcy Jorioz,djorioz4v@census.gov,212-105-0713,segment2,Oil & Gas Production,channel4,channel1,176
177,2022-03-15T01:19:22Z,177,Piotr Reims,preims4w@instagram.com,529-312-5953,segment3,Other Specialty Stores,channel4,channel4,177
178,2022-08-25T08:52:27Z,178,Lynelle McQuirter,lmcquirter4x@narod.ru,222-476-6408,segment1,Life Insurance,channel4,channel1,178
179,2022-09-25T10:31:30Z,179,Cleo Merrydew,cmerrydew4y@creativecommons.org,458-142-4559,segment3,Other Specialty Stores,channel1,channel5,179
180,2022-07-12T15:02:49Z,180,Birgitta Murrell,bmurrell4z@nationalgeographic.com,654-211-9000,segment1,Natural Gas Distribution,channel4,channel1,180
181,2022-03-30T10:23:18Z,181,Melisandra D'Ambrogio,mdambrogio50@imgur.com,100-441-6384,segment3,Major Banks,channel3,channel2,181
182,2022-09-02T16:53:09Z,182,Kaleb Emslie,kemslie51@slideshare.net,978-538-0050,segment1,Metal Fabrications,channel2,channel5,182
183,2022-09-02T19:28:07Z,183,Moreen Sey,msey52@businessweek.com,325-878-2929,segment2,Oil/Gas Transmission,channel3,channel2,183
184,2023-01-31T17:00:25Z,184,Sibilla Kale,skale53@theatlantic.com,445-285-8043,segment3,Military/Government/Technical,channel1,channel3,184
185,2022-02-27T15:20:34Z,185,Berke Kenworthey,bkenworthey54@nsw.gov.au,555-330-6052,segment3,n/a,channel1,channel2,185
186,2022-05-28T14:38:02Z,186,Artemas Danell,adanell55@oakley.com,835-855-8993,segment3,Major Pharmaceuticals,channel1,channel2,186
187,2022-08-14T18:56:53Z,187,Beatrice Fortie,bfortie56@msu.edu,125-739-0244,segment3,n/a,channel4,channel2,187
188,2022-10-30T12:59:00Z,188,Jerrie Sket,jsket57@biglobe.ne.jp,146-896-7246,segment1,Integrated oil Companies,channel3,channel1,188
189,2022-09-27T02:15:15Z,189,Simona Spenclay,sspenclay58@slideshare.net,645-848-2275,segment2,Major Pharmaceuticals,channel1,channel1,189
190,2022-04-19T08:16:20Z,190,Thelma Lubomirski,tlubomirski59@washington.edu,422-270-8270,segment4,Railroads,channel1,channel3,190
191,2022-11-12T22:37:07Z,191,Alina Arrighetti,aarrighetti5a@google.cn,757-284-6169,segment4,Other Specialty Stores,channel1,channel5,191
192,2022-09-03T14:00:28Z,192,Salem Hexum,shexum5b@illinois.edu,375-798-4730,segment4,n/a,channel4,channel5,192
193,2022-07-26T19:12:21Z,193,Dalenna Uzelli,duzelli5c@google.co.jp,751-751-3911,segment2,Marine Transportation,channel3,channel3,193
